------ BEGIN CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\accuweather.yaml ------
CHECKING SYNTAX...
SYNTAX OK
CHECKING VALIDITY...
   USING DEFAULT CAPACITY '{"requests":{"max":"Infinity","period":{"amount":1,"unit":"second"}}}'
VALIDITY OK in C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\accuweather.yaml
------ END CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\accuweather.yaml ------
------ BEGIN CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\aiception.yaml ------
CHECKING SYNTAX...
SYNTAX OK
CHECKING VALIDITY...
   USING DEFAULT CAPACITY '{"requests":{"max":"Infinity","period":{"amount":1,"unit":"second"}}}'
VALIDITY OK in C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\aiception.yaml
------ END CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\aiception.yaml ------
------ BEGIN CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\azuresearch.yaml ------
CHECKING SYNTAX...
SYNTAX OK
CHECKING VALIDITY...
   USING DEFAULT CAPACITY '{"requests":{"max":"Infinity","period":{"amount":1,"unit":"second"}}}'
VALIDITY OK in C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\azuresearch.yaml
------ END CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\azuresearch.yaml ------
------ BEGIN CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\box.yaml ------
CHECKING SYNTAX...
SYNTAX OK
CHECKING VALIDITY...
   USING DEFAULT CAPACITY '{"requests":{"max":"Infinity","period":{"amount":1,"unit":"second"}}}'
             L2.2 LIMIT CONSISTENCY CONFLICT: in Individual>/files/content>post>requests ('10 per 1/second' and '4 per 1/second')
             L2.3 AMBIGUITY CONFLICT: in  Individual>/files/content>post>requests ('10 per 1/second' and '4 per 1/second')
         NOK LIMITATION VALIDITY in Individual>/files/content>post>requests (l0='50000 per 1/day'; l1='10 per 1/second'; l2='4 per 1/second'; ) NOK
           everyLimitIsValid=true
           !existsConsistencyConflicts=false
           !existsAmbiguityConflicts=false
       NOK PLAN VALIDITY in (Individual) NOK
         everyLimitationIsValid=false
         !existsConsistencyConflicts=true
         !existsRelatedMetricConsistencyConflict=true
             L4.2 COST CONSISTENCY CONFLICT in plan 'Individual'|'Starter' in >rates>/files/upload_sessions/{SESSION_ID}>get>requests ('60 per 1/minute' > '12 per 1/minute' AND NOT '0 >= 4.5')
             L4.2 COST CONSISTENCY CONFLICT in plan 'Individual'|'Starter' in >rates>/files/upload_sessions/{SESSION_ID}/parts>get>requests ('60 per 1/minute' > '12 per 1/minute' AND NOT '0 >= 4.5')
  UNUSED METRIC 'users'
     NOK PRICING VALIDITY NOK
       everyPlanIsValid=false
       !existsCostConsistencyConflicts=false
VALIDITY ERROR in C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\box.yaml
------ END CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\box.yaml ------
------ BEGIN CHECKING FILE: C:\Users\Antonio\Desktop\sla4oai-validator\examples\old-examples\clarifai.yaml ------
CHECKING SYNTAX...
SYNTAX OK
CHECKING VALIDITY...
   USING DEFAULT CAPACITY '{"requests":{"max":"Infinity","period":{"amount":1,"unit":"second"}}}'
  UNDEFINED METRIC inputs in BeforeEmailActivation>/v2/inputs>post>inputs 
  UNDEFINED METRIC inputsPerCall in BeforeEmailActivation>/v2/workflows/{workflow_id}/results>post>inputsPerCall 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/models/{model_id}/outputs>post>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/models/{model_id}/outputs>post>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/models/{model_id}/outputs>post>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/models/{model_id}/outputs>post>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/models/{model_id}/versions/{version_id}/outputs>post>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/models/{model_id}/versions/{version_id}/outputs>post>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/models/{model_id}/versions/{version_id}/outputs>post>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/models/{model_id}/versions/{version_id}/outputs>post>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/inputs>post>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/inputs>post>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/inputs>post>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/inputs>post>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/inputs>patch>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/inputs>patch>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/inputs>patch>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/inputs>patch>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/inputs>delete>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/inputs>delete>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/inputs>delete>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/inputs>delete>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/inputs>get>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/inputs>get>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/inputs>get>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/inputs>get>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/inputs/status>get>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/inputs/status>get>videoPredictRequests 
  UNDEFINED METRIC searchRequests in BeforeEmailActivation>/v2/inputs/status>get>searchRequests 
  UNDEFINED METRIC otherRequests in BeforeEmailActivation>/v2/inputs/status>get>otherRequests 
  UNDEFINED METRIC imagePredictRequests in BeforeEmailActivation>/v2/inputs/{id}>get>imagePredictRequests 
  UNDEFINED METRIC videoPredictRequests in BeforeEmailActivation>/v2/inputs/{id}>get>videoPredictRequests 
